zone_id,zone,pickup_count,dropoff_count,out_degree,in_degree,flow_count,avg_tip,tip_rate
218,Springfield Gardens North,65,241,46,50,306,0.6103076923076923,0.09230769230769231
254,Williamsbridge/Olinville,65,73,50,47,138,0.3952307692307692,0.03076923076923077
85,Erasmus,63,148,43,60,211,0.3388888888888889,0.07936507936507936
167,Morrisania/Melrose,63,95,42,47,158,0.24555555555555553,0.047619047619047616
77,East New York/Pennsylvania Avenue,60,91,47,49,151,0.0,0.0
198,Ridgewood,59,388,38,72,447,3.1957627118644063,0.4576271186440678
26,Borough Park,58,153,38,63,211,0.14224137931034483,0.034482758620689655
47,Claremont/Bathgate,57,65,41,44,122,0.9343859649122807,0.12280701754385964
29,Brighton Beach,56,169,40,43,225,1.2421428571428572,0.16071428571428573
155,Marine Park/Mill Basin,56,106,36,46,162,0.36107142857142854,0.03571428571428571
174,Norwood,56,65,43,45,121,1.385892857142857,0.21428571428571427
123,Homecrest,55,118,36,48,173,0.46727272727272734,0.12727272727272726
190,Prospect Park,52,132,30,38,184,5.304423076923077,0.8653846153846154
242,Van Nest/Morris Park,52,110,33,57,162,1.1782692307692306,0.15384615384615385
32,Bronxdale,51,41,34,29,92,0.4833333333333333,0.058823529411764705
18,Bedford Park,50,69,40,42,119,0.9936,0.06
117,Hammels/Arverne,50,79,32,48,129,0.14,0.04
173,North Corona,49,187,34,34,236,5.594489795918367,0.46938775510204084
169,Mount Hope,47,77,37,38,124,1.0185106382978724,0.2127659574468085
250,Westchester Village/Unionport,47,66,34,36,113,0.3234042553191489,0.10638297872340426
136,Kingsbridge Heights,44,59,32,39,103,0.17863636363636362,0.06818181818181818
220,Spuyten Duyvil/Kingsbridge,43,238,28,58,281,2.7548837209302324,0.3023255813953488
241,Van Cortlandt Village,43,85,32,51,128,0.046511627906976744,0.046511627906976744
20,Belmont,42,71,31,38,113,3.44452380952381,0.19047619047619047
121,Hillcrest/Pomonok,42,677,33,48,719,1.185952380952381,0.30952380952380953
253,Willets Point,42,15,32,11,57,9.120714285714286,0.6666666666666666
22,Bensonhurst West,41,78,32,45,119,1.2197560975609756,0.04878048780487805
63,Cypress Hills,41,96,32,52,137,0.7082926829268292,0.07317073170731707
108,Gravesend,40,69,31,26,109,0.5435,0.05
217,South Williamsburg,40,158,30,52,198,3.439,0.45
259,Woodlawn/Wakefield,37,60,27,34,97,0.36567567567567566,0.02702702702702703
57,Corona,36,21,29,11,57,7.5088888888888885,0.6111111111111112
191,Queens Village,36,229,31,51,265,2.927777777777778,0.19444444444444445
202,Roosevelt Island,36,246,29,65,282,7.181666666666666,0.3333333333333333
131,Jamaica Estates,35,222,32,46,257,0.2785714285714286,0.05714285714285714
212,Soundview/Bruckner,33,50,28,32,83,0.31636363636363635,0.12121212121212122
54,Columbia Street,32,281,22,48,313,6.91125,0.8125
21,Bensonhurst East,31,68,26,40,99,0.06967741935483872,0.03225806451612903
106,Gowanus,31,397,23,61,428,2.0361290322580645,0.4838709677419355
147,Longwood,31,37,26,24,68,0.11870967741935484,0.06451612903225806
200,Riverdale/North Riverdale/Fieldston,31,196,24,55,227,0.9154838709677419,0.0967741935483871
81,Eastchester,30,32,24,21,62,0.11333333333333333,0.03333333333333333
135,Kew Gardens Hills,30,744,25,41,774,3.165666666666667,0.26666666666666666
160,Middle Village,29,428,19,59,457,6.411379310344828,0.41379310344827586
257,Windsor Terrace,29,307,21,65,336,3.7034482758620686,0.4827586206896552
258,Woodhaven,28,208,21,35,236,0.2735714285714286,0.07142857142857142
207,Saint Michaels Cemetery/Woodside,27,16,22,10,43,12.118148148148148,0.9629629629629629
227,Sunset Park East,27,125,22,53,152,0.5270370370370371,0.07407407407407407
139,Laurelton,26,113,20,27,139,0.2573076923076923,0.07692307692307693
149,Madison,26,69,22,34,95,0.5376923076923077,0.07692307692307693
185,Pelham Parkway,26,70,19,40,96,0.19230769230769232,0.038461538461538464
194,Randalls Island,26,124,17,30,150,8.843076923076923,0.9230769230769231
150,Manhattan Beach,25,133,18,26,158,0.3632,0.08
248,West Farms/Bronx River,25,38,21,24,63,0.888,0.08
38,Cambria Heights,24,103,22,26,127,0.625,0.08333333333333333
203,Rosedale,24,105,22,32,129,0.8333333333333334,0.041666666666666664
208,Schuylerville/Edgewater Park,24,109,21,37,133,0.61375,0.08333333333333333
53,College Point,22,248,16,38,270,4.348181818181818,0.5454545454545454
60,Crotona Park East,22,38,19,26,60,0.6327272727272727,0.045454545454545456
