taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-03,13,23,0.8695652173913043,3.8465217391304347,3.27,0.8846153846153846,3.3592307692307695
green,2024-01-03,14,26,0.8846153846153846,3.3592307692307695,3.3449999999999998,0.8333333333333334,2.914333333333333
green,2024-01-03,15,30,0.8333333333333334,2.914333333333333,2.785,0.7941176470588235,2.754705882352941
green,2024-01-03,16,34,0.7941176470588235,2.754705882352941,2.87,0.9565217391304348,2.780869565217391
green,2024-01-03,17,23,0.9565217391304348,2.780869565217391,2.93,0.8717948717948718,3.3007692307692307
green,2024-01-03,18,39,0.8717948717948718,3.3007692307692307,3.04,0.9583333333333334,3.7783333333333338
green,2024-01-03,19,24,0.9583333333333334,3.7783333333333338,3.395,0.9444444444444444,3.016666666666667
green,2024-01-03,20,18,0.9444444444444444,3.016666666666667,2.565,0.9285714285714286,2.8607142857142853
green,2024-01-03,21,14,0.9285714285714286,2.8607142857142853,2.31,0.9166666666666666,2.9608333333333334
green,2024-01-03,22,12,0.9166666666666666,2.9608333333333334,3.2,0.6666666666666666,0.8966666666666666
green,2024-01-04,0,6,1.0,3.4433333333333334,2.495,1.0,3.145
green,2024-01-04,6,4,1.0,2.4875,2.54,0.875,1.80375
green,2024-01-04,7,16,0.875,1.80375,2.1550000000000002,0.8636363636363636,3.227272727272727
green,2024-01-04,8,22,0.8636363636363636,3.227272727272727,2.71,0.8518518518518519,2.5722222222222224
green,2024-01-04,9,27,0.8518518518518519,2.5722222222222224,2.5,0.9259259259259259,3.547037037037037
green,2024-01-04,10,27,0.9259259259259259,3.547037037037037,2.5,0.8571428571428571,3.903809523809524
green,2024-01-04,11,21,0.8571428571428571,3.903809523809524,3.4,0.9545454545454546,3.605
green,2024-01-04,12,22,0.9545454545454546,3.605,3.415,0.9333333333333333,3.0533333333333332
green,2024-01-04,13,15,0.9333333333333333,3.0533333333333332,2.44,0.8888888888888888,4.195925925925926
green,2024-01-04,14,27,0.8888888888888888,4.195925925925926,3.75,0.8717948717948718,3.907435897435898
green,2024-01-04,15,39,0.8717948717948718,3.907435897435898,3.28,0.813953488372093,3.2674418604651163
green,2024-01-04,16,43,0.813953488372093,3.2674418604651163,2.94,0.8378378378378378,3.5018918918918915
green,2024-01-04,17,37,0.8378378378378378,3.5018918918918915,3.15,0.9056603773584906,3.266981132075472
green,2024-01-04,18,53,0.9056603773584906,3.266981132075472,2.8,0.9310344827586207,3.673103448275862
green,2024-01-04,19,29,0.9310344827586207,3.673103448275862,3.08,0.9142857142857143,3.2091428571428575
green,2024-01-04,20,35,0.9142857142857143,3.2091428571428575,3.0,0.7894736842105263,1.97
green,2024-01-04,21,19,0.7894736842105263,1.97,1.8,0.8571428571428571,2.358571428571429
green,2024-01-04,22,14,0.8571428571428571,2.358571428571429,2.1500000000000004,0.875,2.74125
green,2024-01-05,0,2,1.0,2.565,2.565,0.0,0.0
green,2024-01-05,1,1,0.0,0.0,0.0,1.0,3.62
green,2024-01-05,5,2,0.0,0.0,0.0,0.8888888888888888,2.1888888888888887
green,2024-01-05,6,9,0.8888888888888888,2.1888888888888887,2.3,0.9285714285714286,4.177857142857143
green,2024-01-05,7,14,0.9285714285714286,4.177857142857143,2.83,0.8333333333333334,2.4404166666666667
green,2024-01-05,8,24,0.8333333333333334,2.4404166666666667,2.0,1.0,3.8903703703703703
green,2024-01-05,9,27,1.0,3.8903703703703703,3.08,0.875,3.8150000000000004
green,2024-01-05,10,16,0.875,3.8150000000000004,3.395,0.88,2.7736
green,2024-01-05,11,25,0.88,2.7736,2.86,0.9375,3.71875
green,2024-01-05,12,16,0.9375,3.71875,2.715,0.8636363636363636,4.2290909090909095
green,2024-01-05,13,22,0.8636363636363636,4.2290909090909095,3.6900000000000004,0.7857142857142857,3.547857142857143
green,2024-01-05,14,28,0.7857142857142857,3.547857142857143,3.0,0.9411764705882353,3.516764705882353
green,2024-01-05,15,34,0.9411764705882353,3.516764705882353,3.0,0.967741935483871,3.471290322580645
green,2024-01-05,16,31,0.967741935483871,3.471290322580645,2.72,0.9411764705882353,3.9652941176470584
green,2024-01-05,17,34,0.9411764705882353,3.9652941176470584,3.495,0.9166666666666666,3.905
green,2024-01-05,18,24,0.9166666666666666,3.905,3.36,1.0,4.005
green,2024-01-05,19,32,1.0,4.005,3.4850000000000003,1.0,2.8922222222222222
