taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Manhattan,East Harlem South,22991,0.9334087251533209,0.51395094,3.2974259492845026,1.7239189,1.7457047,3.6679692,4.5949535
green,Manhattan,Inwood,34,0.7352941176470589,0.39828864,3.8529411764705883,1.7226205,1.9406329,4.350773,5.6668134
green,Brooklyn,Erasmus,6,0.8333333333333334,0.35241213,3.5583333333333336,1.7159815,2.209464,5.4263663,6.7933044
green,EWR,Newark Airport,1,0.0,0.13478228,0.0,1.6841519,6.3161345,16.570282,22.636814
green,Brooklyn,Stuyvesant Heights,12,0.4166666666666667,0.25890726,4.399166666666667,1.6732965,2.7474468,7.65802,9.706628
green,Unknown,Outside of NYC,33,0.6666666666666666,0.18167719,13.296666666666665,1.6729616,2.9774323,11.191594,16.446089
green,Brooklyn,East Williamsburg,470,0.825531914893617,0.25401995,6.552872340425532,1.6324242,2.8054755,8.329255,10.589322
green,Brooklyn,Carroll Gardens,74,0.8918918918918919,0.39185467,4.050810810810811,1.6234485,2.0105767,4.2958646,5.465448
green,Brooklyn,Downtown Brooklyn/MetroTech,4695,0.9286474973375932,0.4257622,4.210300319488818,1.618393,2.1412709,4.456875,5.669836
green,Bronx,Norwood,16,0.75,0.23762232,4.850625,1.6031809,2.4772758,6.60182,8.591906
green,Queens,Maspeth,652,0.8220858895705522,0.23693642,6.2214570552147235,1.600186,2.980214,8.753998,10.994586
green,Queens,Long Island City/Queens Plaza,190,0.9105263157894737,0.421063,8.99221052631579,1.5829778,1.9196739,4.386047,5.5101295
green,Brooklyn,Clinton Hill,85,0.8705882352941177,0.3890693,3.4023529411764706,1.5560246,2.1614802,4.698348,6.0057526
green,Brooklyn,Homecrest,4,1.0,0.32109177,2.55,1.5551027,2.193564,5.4365664,6.809359
green,Manhattan,Manhattanville,382,0.8481675392670157,0.41896984,2.849764397905759,1.5546808,1.8044052,3.880755,5.024637
green,Brooklyn,Crown Heights South,8,0.75,0.34949777,4.945,1.5502782,2.1933916,4.989375,6.2996073
green,Queens,Sunnyside,115,0.8608695652173913,0.35839963,4.819826086956522,1.5483885,2.2198188,5.143411,6.658269
green,Brooklyn,Williamsburg (South Side),101,0.8613861386138614,0.35267752,4.793564356435644,1.5408931,2.100571,5.1857314,6.741744
green,Queens,Whitestone,8,0.5,0.27121025,9.3125,1.5046962,2.2028785,6.0525446,7.653154
green,Brooklyn,Fort Greene,5747,0.9232643118148599,0.42063355,3.6165199234383154,1.4959987,1.9855318,3.8583248,4.9338355
green,Queens,Forest Park/Highland Park,1,1.0,0.35812002,2.0,1.4844708,1.9542549,4.5630646,5.2108736
green,Queens,Cambria Heights,2,0.5,0.15380004,2.5,1.4739372,4.0159645,12.976404,16.518421
green,Queens,East Elmhurst,19,0.5789473684210527,0.22303273,5.881578947368421,1.4697636,2.9907968,8.314181,11.116986
green,Queens,Astoria Park,1,0.0,0.1165306,0.0,1.468304,5.0638113,17.261475,22.81697
green,Brooklyn,Prospect Heights,46,0.8695652173913043,0.3642474,5.258260869565217,1.4672703,2.1312187,4.6793447,5.91149
green,Brooklyn,Ocean Hill,5,0.6,0.32955128,3.192,1.4637524,2.0013828,5.048441,6.3150396
green,Brooklyn,Boerum Hill,690,0.9057971014492754,0.39196375,3.5387971014492754,1.4426467,1.9276159,4.038962,5.1382627
