taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
green,Queens,Ridgewood,54,0.7407407407407407,4.913518518518519,37.089814814814815,3.2575925925925926
green,Manhattan,Central Harlem North,3307,0.7354097369216813,2.4611581493801027,15.344959177502268,2.479301481705473
green,Queens,Queens Village,11,0.7272727272727273,7.153636363636363,49.51818181818182,7.965454545454546
green,Manhattan,Roosevelt Island,18,0.7222222222222222,16.02111111111111,31.372222222222224,5.447777777777778
green,Queens,Fresh Meadows,7,0.7142857142857143,4.217142857142857,33.72857142857143,2.152857142857143
green,Queens,Corona,115,0.7043478260869566,7.069217391304348,63.709391304347825,7.886260869565217
green,Manhattan,Marble Hill,10,0.7,3.806,32.7,4.885
green,Queens,North Corona,63,0.6984126984126984,6.9615873015873015,51.5279365079365,7.048253968253968
green,Queens,JFK Airport,52,0.6923076923076923,6.694038461538461,47.138461538461534,5.140384615384615
green,Bronx,Norwood,26,0.6923076923076923,4.316923076923077,26.673076923076923,4.898461538461539
green,Brooklyn,Coney Island,184,0.6793478260869565,3.845652173913044,30.698913043478264,5.7972282608695656
green,Queens,Baisley Park,31,0.6774193548387096,4.095161290322581,33.11290322580645,5.208387096774194
green,Bronx,East Concourse/Concourse Village,66,0.6666666666666666,3.4356060606060606,20.184848484848487,3.1999999999999997
green,Brooklyn,Brighton Beach,39,0.6666666666666666,4.315897435897436,28.62076923076923,5.211538461538462
green,Queens,College Point,30,0.6666666666666666,5.465,29.063333333333333,4.915666666666667
green,Brooklyn,Bay Ridge,15,0.6666666666666666,5.86,37.75333333333333,6.292
green,Queens,Springfield Gardens North,9,0.6666666666666666,2.4633333333333334,22.922222222222224,2.3266666666666667
green,Bronx,Schuylerville/Edgewater Park,6,0.6666666666666666,11.651666666666666,57.0,8.345
green,Brooklyn,Borough Park,6,0.6666666666666666,2.6083333333333334,16.366666666666667,1.805
green,Brooklyn,Marine Park/Mill Basin,6,0.6666666666666666,3.2583333333333333,42.5,9.475
green,Manhattan,Hudson Sq,6,0.6666666666666666,3.86,21.78333333333333,3.8466666666666662
green,Brooklyn,Bensonhurst West,3,0.6666666666666666,2.8533333333333335,17.53333333333333,2.056666666666666
green,Brooklyn,Marine Park/Floyd Bennett Field,3,0.6666666666666666,9.793333333333333,87.3,8.453333333333333
green,Queens,Woodhaven,3,0.6666666666666666,2.5533333333333332,21.733333333333334,2.4833333333333334
green,Manhattan,Inwood,88,0.6590909090909091,2.8555681818181817,22.34659090909091,4.372272727272727
green,Unknown,Outside of NYC,70,0.6571428571428571,13.023857142857143,84.67114285714287,10.516857142857143
green,Queens,East Elmhurst,35,0.6571428571428571,4.193714285714286,35.91142857142857,4.150571428571429
green,Queens,Whitestone,11,0.6363636363636364,7.847272727272727,28.136363636363637,4.200909090909091
green,Brooklyn,Prospect-Lefferts Gardens,35,0.6285714285714286,2.4325714285714284,17.097142857142856,2.0574285714285714
green,Brooklyn,East New York,46,0.6086956521739131,2.325,20.77173913043478,3.390434782608696
green,Queens,Kew Gardens Hills,23,0.6086956521739131,3.888260869565218,21.23913043478261,2.7399999999999998
green,Manhattan,Washington Heights North,241,0.6058091286307054,2.949585062240664,22.180497925311204,4.510622406639004
green,Bronx,Mount Hope,30,0.6,2.334,18.666666666666668,2.384
green,Queens,Auburndale,5,0.6,2.8440000000000003,23.32,2.362
green,Queens,Hollis,5,0.6,0.9199999999999999,14.12,1.5219999999999998
green,Brooklyn,Crown Heights North,118,0.5932203389830508,2.790762711864407,20.441525423728812,2.489830508474576
green,Bronx,Soundview/Bruckner,44,0.5909090909090909,1.9309090909090911,14.063636363636363,1.88
green,Bronx,Mott Haven/Port Morris,110,0.5727272727272728,2.2954545454545454,19.565454545454543,2.7677272727272726
green,Bronx,East Tremont,42,0.5714285714285714,3.0021428571428572,20.942857142857143,3.250238095238095
green,Bronx,Williamsbridge/Olinville,7,0.5714285714285714,4.252857142857143,23.17142857142857,3.7057142857142855
green,Manhattan,Inwood Hill Park,7,0.5714285714285714,5.405714285714287,30.285714285714285,6.491428571428571
green,Queens,Bayside,9,0.5555555555555556,3.2333333333333334,39.91111111111111,5.054444444444445
green,Queens,Middle Village,20,0.55,2.825,26.169999999999998,1.5735
green,Bronx,Bedford Park,11,0.5454545454545454,2.7899999999999996,31.41818181818182,6.948181818181817
green,Brooklyn,Bedford,117,0.5299145299145299,2.1812820512820514,26.604273504273504,1.7359829059829062
green,Bronx,Melrose South,102,0.5294117647058824,1.8022549019607845,16.42058823529412,2.2608823529411763
green,Bronx,University Heights/Morris Heights,17,0.5294117647058824,1.2405882352941175,35.85294117647059,7.821176470588235
green,Brooklyn,Flatlands,23,0.5217391304347826,7.272608695652174,68.69130434782609,16.90304347826087
green,Bronx,Belmont,35,0.5142857142857142,4.5928571428571425,27.622857142857143,4.587714285714285
green,Queens,South Jamaica,35,0.5142857142857142,2.6962857142857146,22.457142857142856,1.8994285714285715
green,Queens,South Ozone Park,86,0.5,2.1169767441860468,31.18953488372093,4.311046511627907
green,Bronx,Crotona Park East,10,0.5,2.695,25.04,3.103
green,Brooklyn,Cypress Hills,8,0.5,4.115,43.95,4.46125
green,Queens,Cambria Heights,4,0.5,1.75,43.57,6.452500000000001
green,Brooklyn,Bath Beach,2,0.5,2.48,36.6,7.72
green,Brooklyn,East New York/Pennsylvania Avenue,2,0.5,5.0,48.9,9.735000000000001
green,Brooklyn,Starrett City,2,0.5,2.5,43.55,4.37
green,Queens,Bay Terrace/Fort Totten,2,0.5,4.0,29.6,5.69
green,Queens,Howard Beach,2,0.5,1.08,44.65,14.585
