taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Queens,Hammels/Arverne,3,0.6666666666666666,0.22774571,2.3333333333333335,1.2134429,3.4784374,6.6598163,9.328945
green,Queens,Flushing,861,0.7409988385598142,0.2865219,3.416806039488966,1.2107038,2.248056,4.76241,6.5721188
green,Queens,Rego Park,249,0.7590361445783133,0.2982497,2.9568273092369477,1.1896368,1.8708467,4.1896105,5.616035
green,Queens,Glen Oaks,2,1.0,0.32941258,6.48,1.1822518,2.0019705,4.1108084,5.127235
green,Bronx,East Tremont,20,0.6,0.21092685,4.1884999999999994,1.1673307,2.3808537,5.3973475,7.2635446
green,Unknown,Unknown,135,0.7407407407407407,0.30312157,3.6769629629629628,1.1619208,1.84191,4.5981574,6.422736
green,Manhattan,Marble Hill,4,0.75,0.3132896,1.42,1.1386664,2.173171,3.7896552,5.218595
green,Queens,Fresh Meadows,2,0.5,0.21520638,3.45,1.1189983,2.2277682,6.3165584,8.593318
green,Queens,Queensbridge/Ravenswood,262,0.8320610687022901,0.30820063,2.8198473282442746,1.1154026,1.9389439,3.9818866,5.2722206
green,Bronx,Bedford Park,5,0.4,0.14925176,4.826,1.085213,3.2184956,8.74981,12.489039
green,Brooklyn,Sheepshead Bay,529,0.7637051039697542,0.3942143,2.0718714555765594,1.0603153,1.4995606,2.8436952,3.635171
green,Queens,Springfield Gardens North,7,0.7142857142857143,0.23811786,2.75,1.0507814,2.0400798,4.869731,6.72037
green,Queens,Murray Hill-Queens,3,1.0,0.2857687,3.0,1.0261195,1.8248619,3.8030822,5.284814
green,Bronx,Belmont,14,0.42857142857142855,0.19121313,8.150714285714285,1.0226457,2.1686265,4.663612,6.0104146
green,Brooklyn,East Flatbush/Remsen Village,1,0.0,0.32045496,0.0,0.99885327,1.4211568,3.5876799,4.8009043
green,Queens,Middle Village,11,0.6363636363636364,0.20781517,3.4454545454545453,0.9804443,2.329974,5.598988,7.6370134
green,Bronx,Van Cortlandt Village,6,0.16666666666666666,0.20194866,0.16666666666666666,0.9798972,2.1544642,7.0816016,11.530125
green,Bronx,Claremont/Bathgate,10,0.6,0.22120377,4.506,0.97923577,2.123081,4.0826545,5.599054
green,Staten Island,Saint George/New Brighton,2,0.5,0.26340348,1.75,0.97060835,2.0735834,4.491646,6.220604
green,Queens,Richmond Hill,79,0.9113924050632911,0.2914914,8.904430379746836,0.966329,1.7016007,3.658469,4.7815967
green,Bronx,Longwood,5,0.4,0.2679093,0.736,0.957687,1.7431682,3.468392,4.4676394
green,Queens,Steinway,993,0.904330312185297,0.28443336,3.102588116817724,0.9444989,1.7473016,3.3256273,4.475883
